  ,Subject        ,Start Date,End Date  ,All Day Event,Description
0 ,Feriado/Recesso,01/01/2019,01/01/2019,True         ,Feriado: Confraternização Universal
1 ,Feriado/Recesso,04/03/2019,04/03/2019,True         ,Recesso escolar
2 ,Feriado/Recesso,05/03/2019,05/03/2019,True         ,Feriado: Carnaval
3 ,Feriado/Recesso,06/03/2019,06/03/2019,True         ,Feriado: Cinzas
4 ,Feriado/Recesso,18/04/2019,18/04/2019,True         ,Recesso escolar
5 ,Feriado/Recesso,19/04/2019,19/04/2019,True         ,Feriado: Paixão de Cristo
6 ,Feriado/Recesso,20/04/2019,20/04/2019,True         ,Recesso escolar
7 ,Feriado/Recesso,21/04/2019,21/04/2019,True         ,Feriado: Tiradentes
8 ,Feriado/Recesso,01/05/2019,01/05/2019,True         ,Feriado: Dia do Trabalho
9 ,Feriado/Recesso,20/06/2019,20/06/2019,True         ,Feriado: Corpus Christi
10,Feriado/Recesso,21/06/2019,22/06/2019,True         ,Recesso escolar
11,Feriado/Recesso,03/07/2019,03/07/2019,True         ,Feriado municipal em Montes Claros: Aniversário da cidade
12,Feriado/Recesso,15/08/2019,15/08/2019,True         ,Feriado municipal em Belo Horizonte: Assunção de Nossa Senhora
13,Feriado/Recesso,07/09/2019,07/09/2019,True         ,Feriado: Independência do Brasil
14,Feriado/Recesso,12/10/2019,12/10/2019,True         ,Feriado: Nossa Senhora Aparecida
15,Feriado/Recesso,02/11/2019,02/11/2019,True         ,Feriado: Finados
16,Feriado/Recesso,15/11/2019,15/11/2019,True         ,Feriado: Proclamação da República
17,Feriado/Recesso,25/12/2019,25/12/2019,True         ,Feriado: Natal
